Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2010,UMass,3,2,134,110,24,26.8,22,13004.6
2010,USC,3,2,146,113,33,29.2,22.6,78143.6
2010,UTEP,5,1,185,105,80,30.8333333333333,17.5,29349.5
2010,Virginia,4,2,187,146,41,31.1666666666667,24.3333333333333,45152.6666666667
2010,Washington,3,3,176,,,29.3333333333333,,66263.5
2010,West Virginia,5,1,197,70,127,32.8333333333333,11.6666666666667,56554
2010,Western Kentucky,0,5,156,120,36,31.2,24,14576.8
2010,Wisconsin,7,0,342,120,222,48.8571428571429,17.1428571428571,79862.1428571429
2011,Alabama,6,1,312,,,44.5714285714286,,101909
2011,Arizona,3,3,196,186,10,32.6666666666667,31,48877.6666666667
2011,Arkansas,7,0,316,104,212,45.1428571428572,14.8571428571429,66990.4285714286
2011,Arkansas State,6,0,246,92,154,41,15.3333333333333,21256.8333333333
2011,Ball State,3,2,177,,,35.4,,10031.8
2011,Baylor,7,0,,,,,,42224.8571428572
2011,Boise State,5,1,224,107,117,37.3333333333333,17.8333333333333,34018.3333333333
2011,Boston College,2,4,187,106,81,31.1666666666667,17.6666666666667,35709.1666666667
2011,Buffalo,3,3,213,134,79,35.5,22.3333333333333,15890
2011,BYU,5,0,193,50,143,38.6,10,58920.6
2011,Clemson,6,0,241,166,75,40.1666666666667,27.6666666666667,78233
2011,Colorado,1,4,149,143,6,29.8,28.6,50355.4
2011,FIU,4,2,180,120,60,30,20,18410.8333333333
2011,Florida State,5,0,194,45,149,38.8,9,76664.6
2011,Georgia State,6,6,356,360,-4,29.6666666666667,30,14285.5
2011,Georgia Tech,4,1,202,120,82,40.4,24,46367.2
2011,Hawaii,4,3,242,188,54,34.5714285714286,26.8571428571429,31341.4285714286
2011,Illinois,5,3,269,153,116,33.625,19.125,50708.5
2011,Indiana,1,5,162,204,-42,27,34,41380.3333333333
2011,Iowa State,4,2,145,171,-26,24.1666666666667,28.5,53646.6666666667
2011,Kansas,2,4,190,249,-59,31.6666666666667,41.5,42283
2011,Kansas State,6,1,207,190,17,29.5714285714286,27.1428571428571,49029.8571428572
2011,Kent State,4,2,163,,,27.1666666666667,,12035.1666666667
2011,Louisiana,5,0,172,117,55,34.4,23.4,29170.8
2011,Louisiana Tech,3,2,190,149,41,38,29.8,21518.4
2011,Marshall,4,1,153,111,42,30.6,22.2,25874.2
2011,Memphis,1,5,157,,,26.1666666666667,,20078.3333333333
